shop_name,address,district,lat,lng,rating,review_count,brand_type,dist_to_mrt,nearest_mrt,mrt_proximity
Nowhere Taipei Mexican Bistro,"No. 16號, Section 1, Chengde Rd, Datong District, Taipei City, Taiwan 10349",大同區,25.0503058,121.5166241,4.8,2116,獨立,280,台北車站M1,300m內
% ARABICA,"No. 45號, Lane 50, Section 2, Zhongshan N Rd, Zhongshan District, Taipei City, Taiwan 104",大同區,25.0563113,121.520804,3.7,631,獨立,134,雙連站出口1,300m內
好啊咖啡,"No. 46號, Wanquan St, Datong District, Taipei City, Taiwan 10354",大同區,25.0585317,121.51986459999998,4.8,2408,獨立,109,雙連站出口2,300m內
Louisa Coffee,"No. 3號, Minquan W Rd, Zhongshan District, Taipei City, Taiwan 10491",大同區,25.0630087,121.5221129,3.7,2108,連鎖,153,民權西路站出口9,300m內
Block & Cafe,"103013, Taiwan, Taipei City, Datong District, Taiyuan Rd, 50號2樓",大同區,25.0508535,121.5152487,4.5,1318,獨立,416,台北車站M1,300-500m
Coffee Dumbo,"No. 25號, Lane 49, Chifeng St, Datong District, Taipei City, Taiwan 104",大同區,25.0558043,121.5203751,4.6,851,獨立,190,雙連站出口1,300m內
瑤池墮宮 YCDG,"10491, Taiwan, Taipei City, Zhongshan District, Lane 70, Section 1, Minquan E Rd, 5號1樓",大同區,25.0619896,121.5251147,4.7,333,獨立,117,中山國小站出口2,300m內
MARAIS x Lille M. Cafe & Restaurant,"No. 18號, Lane 36, Section 2, Zhongshan N Rd, Zhongshan District, Taipei City, Taiwan 110",大同區,25.0541826,121.521504,4.4,2484,獨立,178,中山站出口3,300m內
Ao Tao Zu Café,"103, Taiwan, Taipei City, Datong District, Liangzhou St, 106號2樓",大同區,25.060509,121.5098167,4.3,444,獨立,369,大橋頭站出口1A,300-500m
Tella Tella Cafe,"103, Taiwan, Taipei City, Datong District, Lane 49, Chifeng St, 22號2樓",大同區,25.0556745,121.5202759,4.1,790,獨立,205,雙連站出口1,300m內
北風社,"10353, Taiwan, Taipei City, Datong District, Lane 47, Chifeng St, 18號2樓",大同區,25.0552532,121.5201497,4.2,744,獨立,254,雙連站出口1,300m內
Mr. Brown Coffee Nanjing Concept Store,"No. 218號, Section 2, Nanjing E Rd, Zhongshan District, Taipei City, Taiwan 104",中山區,25.0517681,121.5363357,4.0,3098,獨立,227,松江南京站出口5,300m內
Fika Fika Cafe,"No. 33號, Yitong St, Zhongshan District, Taipei City, Taiwan 104",中山區,25.0504557,121.5352787,4.4,4607,獨立,199,松江南京站出口5,300m內
覺旅咖啡 Journey Kaffe 南京復興店,"105, Taiwan, Taipei City, Songshan District, Alley 8, Lane 303, Section 3, Nanjing E Rd, 7號1樓",中山區,25.0530552,121.5471475,4.1,1634,獨立,255,南京復興站出口6,300m內
CHIFFON手工蛋糕店,"No. 77號, Long Jiang Rd, Zhongshan District, Taipei City, Taiwan 10491",中山區,25.050947,121.5405527,4.3,2329,獨立,159,南京復興站出口2,300m內
CAFE RACO,"10491, Taiwan, Taipei City, Zhongshan District, Lane 147, Section 2, Minsheng E Rd, 1號號1樓",中山區,25.0584222,121.534909,4.5,888,獨立,163,行天宮站出口2,300m內
CE' & LIB-RARY 遼寧店,"No. 134號, Liaoning St, Zhongshan District, Taipei City, Taiwan 10491",中山區,25.0535073,121.54198629999998,4.0,769,獨立,99,南京復興站出口1,300m內
Haritts Donuts & Coffee,"No. 33, Lane 81, Fuxing N Rd, Songshan District, Taipei City, Taiwan 105",中山區,25.0512408,121.54547420000002,4.4,1977,獨立,97,南京復興站出口6,300m內
RUFOUS COFFEE ROASTERS 2,"No. 12號, Lane 60, Section 3, Minquan E Rd, Zhongshan District, Taipei City, Taiwan 104",中山區,25.0614924,121.5422936,4.7,746,獨立,185,中山國中站出口,300m內
STARBUCKS Nanjing Jianguo Shop,"10491, Taiwan, Taipei City, Zhongshan District, Section 3, Nanjing E Rd, 1號1、2樓",中山區,25.0521763,121.5372208,4.2,1691,連鎖,318,松江南京站出口5,300-500m
Le Park Cafe (French café),"No. 146號, Liaoning St, Zhongshan District, Taipei City, Taiwan 104",中山區,25.0538428,121.54203099999998,4.5,1499,獨立,136,南京復興站出口1,300m內
STARBUCKS Nanjing Fuxing Branch,"10491, Taiwan, Taipei City, Zhongshan District, Section 3, Nanjing E Rd, 224號1F",中山區,25.0516611,121.5437483,4.0,1171,連鎖,40,南京復興站出口8,300m內
Mr. Brown Coffee,"No. 332號, SongJiang Rd, Zhongshan District, Taipei City, Taiwan 10491",中山區,25.0613056,121.532911,4.1,2518,獨立,105,行天宮站出口4,300m內
STARBUCKS Linsen Nong’an Shop,"No. 568號, Linsen N Rd, Zhongshan District, Taipei City, Taiwan 10491",中山區,25.0647222,121.5255369,4.2,996,連鎖,217,中山國小站出口1,300m內
Roasting House - Beckhome Roasting House,"No. 1號, Alley 8, Lane 303, Section 3, Nanjing E Rd, Songshan District, Taipei City, Taiwan 105",中山區,25.0529486,121.5468614,4.4,1060,獨立,224,南京復興站出口6,300m內
Summer Savage,"No. 1號, Lane 330, Songjiang Rd, Zhongshan District, Taipei City, Taiwan 10491",中山區,25.0612289,121.5326254,4.8,1310,獨立,103,行天宮站出口4,300m內
Komeda‘s Coffee Nanjing Jianguo,"No. 204號, Section 2, Nanjing E Rd, Zhongshan District, Taipei City, Taiwan 104",中山區,25.0518173,121.5357231,4.2,2861,獨立,166,松江南京站出口5,300m內
"Old Major Coffee (深夜咖啡), I'M Dessert","No. 209號, Fuxing N Rd, Songshan District, Taipei City, Taiwan 105018",中山區,25.056352600000004,121.5444942,4.5,483,獨立,430,南京復興站出口7,300-500m
STARBUCKS Songjiang Shop,"No. 210號, SongJiang Rd, Zhongshan District, Taipei City, Taiwan 10491",中山區,25.0578305,121.5328352,4.1,1430,連鎖,37,行天宮站出口1,300m內
STARBUCKS Songjiang Jingzhou Shop,"10491, Taiwan, Taipei City, Zhongshan District, SongJiang Rd, 239號1樓",中山區,25.0591842,121.5334541,4.2,828,連鎖,45,行天宮站出口2,300m內
STARBUCKS Jiuzong Xinhu Shop,"No. 128號, Xinhu 2nd Rd, Neihu District, Taipei City, Taiwan 114",松山區,25.0623995,121.5787617,4.2,802,連鎖,1320,松山站出口5,500m以上
STARBUCKS Songshan Station Shop,"No. 11, Songshan Rd, Xinyi District, Taipei City, Taiwan 110",松山區,25.0491191,121.5787089,4.0,1033,連鎖,106,松山站出口4,300m內
VI Watergate coffee,"No. 332號, Tayou Rd, Songshan District, Taipei City, Taiwan 105",松山區,25.065313,121.56773799999998,4.7,588,獨立,1556,南京三民站出口4,500m以上
"Cafe,honestly真拾生活","105, Taiwan, Taipei City, Songshan District, Yanshou St, 117-1號一樓117號後棟",松山區,25.0572057,121.5649156,4.9,452,獨立,625,南京三民站出口4,500m以上
About Islander,"105, Taiwan, Taipei City, Songshan District, Alley 2, Ln 250, Section 5, Nanjing E Rd, 39號1樓右側",松山區,25.0507937,121.56821619999998,4.8,469,獨立,364,南京三民站出口4,300-500m
Louisa Coffee,"No. 131號, Section 6, Civic Blvd, Songshan District, Taipei City, Taiwan 105",松山區,25.0496652,121.5788076,3.0,742,連鎖,86,松山站出口4,300m內
PAUSEstudio,"No. 14號, Alley 18, Lane 250, Section 5, Nanjing E Rd, Songshan District, Taipei City, Taiwan 105",松山區,25.0500724,121.566801,4.7,475,獨立,262,南京三民站出口3,300m內
좋은 날 好日子咖啡,"No. 129號, Yanshou St, Songshan District, Taipei City, Taiwan 105",松山區,25.057045,121.5643025,4.7,140,獨立,608,南京三民站出口4,500m以上
咖啡屋 珈琲や 台北松山工房,"No. 758號, Section 4, Bade Rd, Songshan District, Taipei City, Taiwan 105",松山區,25.049981,121.5788369,4.5,748,獨立,90,松山站出口4,300m內
Sukiya Songshan Station Restaurant,"No. 312號, Section 6, Civic Blvd, Xinyi District, Taipei City, Taiwan 110",松山區,25.0488067,121.5793664,3.8,1823,獨立,179,松山站出口4,300m內
85度C咖啡蛋糕飲料烘培(台北永吉店),"110, Taiwan, Taipei City, Xinyi District, 永吉路269號",松山區,25.0456981,121.5753644,3.7,499,獨立,505,松山站出口2,500m以上
Dousun Cafe,"No. 139, Yanshou St, Songshan District, Taipei City, Taiwan 105",松山區,25.056982400000003,121.5639626,4.4,849,獨立,600,南京三民站出口1,500m以上
Peter Better Cafe Neihu Xingshan,"No. 64號, Xingshan Rd, Neihu District, Taipei City, Taiwan 114",松山區,25.0570511,121.5762723,4.1,232,獨立,738,松山站出口5,500m以上
Louisa Coffee 路易莎咖啡(麥帥店),"10568, Taiwan, Taipei City, Songshan District, Alley 2, Ln 250, Section 5, Nanjing E Rd, 19號1樓",松山區,25.0508772,121.5671283,4.2,400,連鎖,256,南京三民站出口4,300m內
For All Coffee,"No. 1, No. 115玉成街52巷南港區臺北市 Taiwan 115",松山區,25.0481266,121.5814968,4.6,371,獨立,291,後山埤站出口4,300m內
小栗原咖啡店 Oguri Coffee,"No. 221號, Songshan Rd, Xinyi District, Taipei City, Taiwan 110",松山區,25.044913,121.577973,4.7,368,獨立,351,後山埤站出口1,300-500m
『五號出口』咖啡館吧Exit No.5 Café Bar,"115, Taiwan, Taipei City, Nangang District, Lane 81, Section 6, Zhongxiao E Rd, 2號1樓",松山區,25.0483402,121.58436599999996,4.7,185,獨立,356,後山埤站出口4,300-500m
CAFE!N 硬咖啡 松山意舍門市,"115, Taiwan, Taipei City, Nangang District, Section 7, Civic Blvd, 8號1樓",松山區,25.0492807,121.58050219999998,4.1,112,獨立,261,松山站出口4,300m內
CHIT CHAT Cafe 寶清店,"105, Taiwan, Taipei City, Songshan District, Baoqing St, 73號1樓",松山區,25.0519614,121.5682271,4.7,256,獨立,357,南京三民站出口4,300-500m
Trivoc,"No. 143號, Xinhu 1st Rd, Neihu District, Taipei City, Taiwan 114",松山區,25.0586487,121.5768103,4.3,288,獨立,905,松山站出口5,500m以上
M One Cafe Daan,"No. 6-1, Lane 27, Section 4, Ren'ai Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.0388681,121.5450689,4.4,4955,獨立,290,忠孝復興站出口3,300m內
2J Cafe,"No. 9, Lane 79, Section 2, Jianguo S Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.0309655,121.538374,4.4,2394,獨立,359,大安森林公園站出口5,300-500m
Witch House,"No. 7號, Lane 56, Section 3, Xinsheng S Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.0205722,121.5336417,4.8,3190,獨立,460,台電大樓站出口2,300-500m
Weiyang Coffee,"No. 10, Lane 208, Siwei Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.0262375,121.5474209,4.1,2062,獨立,381,科技大樓站出口,300-500m
Galette Café,"No. 136, Section 1, Xinhai Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.022071,121.5338969,4.4,1121,獨立,527,台電大樓站出口2,500m以上
RUFOUS COFFEE,"No. 339號, Section 2, Fuxing S Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.0235003,121.5436548,4.6,1754,獨立,295,科技大樓站出口,300m內
PAUL Ren'ai,"106, Taiwan, Taipei City, Da’an District, Section 4, Ren'ai Rd, 107號1F",大安區,25.0384215,121.5497756,4.2,2852,獨立,296,忠孝敦化站出口6,300m內
noon,"No. 2-1號, Lane 142, Rui'an St, Da’an District, Taipei City, Taiwan 106",大安區,25.0295273,121.5416819,4.6,457,獨立,418,大安站出口3,300-500m
Louisa Coffee 路易莎咖啡(建國花市門市),"106, Taiwan, Taipei City, Da’an District, 信義路三段104號",大安區,25.0332895,121.5382431,3.7,512,連鎖,227,大安森林公園站出口5,300m內
ivette Da An,"No. 21號, Lane 270, Section 1, Dunhua S Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.0391096,121.5469544,4.1,617,獨立,309,忠孝敦化站出口6,300-500m
STARBUCKS Xingnan Shop,"No. 323號, Section 1, Fuxing S Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.0336321,121.5437884,4.0,1573,連鎖,42,大安站出口6,300m內
Congrats Café,"No. 49號, Wenchang St, Da’an District, Taipei City, Taiwan 106",大安區,25.0329519,121.5505806,4.4,1417,獨立,177,信義安和站出口2,300m內
This Cafe,"No. 39號, Lane 30, Section 4, Xinyi Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.0318139,121.5447918,4.2,1148,獨立,159,大安站出口5,300m內
Pica Pica Café,"No. 74號, Lane 269, Section 3, Roosevelt Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.0209198,121.5316901,4.3,1236,獨立,274,台電大樓站出口2,300m內
Little Donkey Cafe 小驢館(應援/生咖/場租/不定時休假，請看IG首頁),"No. 21號, Alley 12, Lane 265, Section 4, Xinyi Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.0348378,121.5538071,4.4,70,獨立,170,信義安和站出口5,300m內
STARBUCKS Xinhai Shop,"No. 175, Section 2, Xinhai Rd, Da’an District, Taipei City, Taiwan 106",大安區,25.0217296,121.5411881,4.1,1432,連鎖,550,科技大樓站出口,500m以上
Starbucks (Hanzhong Store),"No. 51號, Hanzhong St, Wanhua District, Taipei City, Taiwan 108",萬華區,25.0440448,121.5074866,4.1,3036,連鎖,164,西門站出口6,300m內
Fong Da Coffee,"No. 42號, Chengdu Rd, Wanhua District, Taipei City, Taiwan 108",萬華區,25.042566,121.506354,4.0,6388,獨立,126,西門站出口6,300m內
STARBUCKS Bangka Shop,"No. 24, Lane 306, Section 1, Xiyuan Rd, Wanhua District, Taipei City, Taiwan 108",萬華區,25.033525,121.4984501,4.5,4184,連鎖,222,龍山寺站出口2,300m內
妳有咖啡 neo cafe（每週二.三固定公休）最後點餐時間19:00,"108, Taiwan, Taipei City, Wanhua District, Section 2, Wuchang St, 83-9號號 2F",萬華區,25.0456972,121.5051101,4.1,1131,獨立,429,西門站出口6,300-500m
木咖 Horoka,"No. 6號, Lane 40, Section 2, Guiyang St, Wanhua District, Taipei City, Taiwan 108",萬華區,25.0391461,121.5049593,4.7,880,獨立,424,西門站出口1,300-500m
STARBUCKS Ximen Chengdu Shop,"No. 87號, Chengdu Rd, Wanhua District, Taipei City, Taiwan 108",萬華區,25.0431642,121.5047631,4.1,1480,連鎖,293,西門站出口6,300m內
武蔵野森珈琲 Diner 台北西門相鐵店,"100, Taiwan, Taipei City, Zhongzheng District, Section 1, Zhonghua Rd, 57號1樓",萬華區,25.041678,121.5085737,4.1,1137,獨立,20,西門站出口2,300m內
Xiao Chu is flying!,"No. 165號, Chengdu Rd, Wanhua District, Taipei City, Taiwan 108",萬華區,25.0439394,121.5022753,4.8,2257,獨立,558,西門站出口6,500m以上
85°C Bakery Cafe Taipei Ximen Shop,"No. 151號, Hanzhong St, Wanhua District, Taipei City, Taiwan 108",萬華區,25.0416791,121.5072605,3.7,1376,獨立,59,西門站出口1,300m內
FUFUCatCafe,"號 3 樓, No. 53, Section 2, Wuchang St, Wanhua District, Taipei City, Taiwan 108",萬華區,25.0447196,121.5072979,4.6,1114,獨立,241,西門站出口6,300m內
Come True Coffee,"No. 2號, Lane 53, Section 2, Hankou St, Wanhua District, Taipei City, Taiwan 108",萬華區,25.046119,121.5062219,4.3,1205,獨立,418,西門站出口6,300-500m
STARBUCKS Ximen Kunming Shop,"No. 77, Section 2, Wuchang St, Wanhua District, Taipei City, Taiwan 108",萬華區,25.0452461,121.5056838,3.9,681,連鎖,355,西門站出口6,300-500m
Louisa Coffee,"No. 114號, Hengyang Rd, Zhongzheng District, Taipei City, Taiwan 100",萬華區,25.0421239,121.50992,3.4,486,連鎖,92,西門站出口4,300m內
4F劇場咖啡（假日暫不提供訂位）,"100, Taiwan, Taipei City, Zhongzheng District, Yanping S Rd, 98號4樓",萬華區,25.0429975,121.5101957,4.5,875,獨立,142,西門站出口5,300m內
STARBUCKS Wanhua Xizang Shop,"No. 123, Xizang Rd, Wanhua District, Taipei City, Taiwan 108",萬華區,25.0295592,121.5025289,4.2,1435,連鎖,658,龍山寺站出口3,500m以上
La Grotta,"100, Taiwan, Taipei City, Zhongzheng District, Section 1, Zhonghua Rd, 77-2號1樓",萬華區,25.038885,121.5078383,4.6,1410,獨立,302,西門站出口2,300-500m
Tukuyomi Maid Cafe,"10843, Taiwan, Taipei City, Wanhua District, Section 2, Wuchang St, 29號3樓",萬華區,25.0446045,121.50787649999998,4.4,512,獨立,207,西門站出口5,300m內
inn cafe 西門店,"No. 8號, Lane 27, Chengdu Rd, Wanhua District, Taipei City, Taiwan 108",萬華區,25.0430379,121.50677899999998,4.5,2144,獨立,98,西門站出口6,300m內
Somebody Cafe,"108, Taiwan, Taipei City, Wanhua District, Chengdu Rd, 65號2樓",萬華區,25.042924000000003,121.505745,4.1,1633,獨立,191,西門站出口6,300m內
Fake Sober Taipei,"No. 20號, Songshou Rd, Xinyi District, Taipei City, Taiwan 110",信義區,25.0352052,121.56745029999998,4.5,949,獨立,309,象山站出口1,300-500m
Buna Cafe,"110, Taiwan, Taipei City, Xinyi District, 信義路四段415之3號",信義區,25.0331987,121.5594265,4.6,3630,獨立,226,台北101/世貿站出口1,300m內
Woolloomooloo,"110, Taiwan, Taipei City, Xinyi District, 信義路四段379號",信義區,25.0333036,121.5581173,4.0,4698,獨立,359,台北101/世貿站出口1,300-500m
United Hotel 國聯大飯店,"No. 200號, Guangfu S Rd, Da’an District, Taipei City, Taiwan 106",信義區,25.0422226,121.5573267,4.1,2588,獨立,79,國父紀念館站出口1,300m內
M One Cafe SKM Xinyi A11,"110, Taiwan, Taipei City, Xinyi District, Songshou Rd, 11號3樓",信義區,25.0360891,121.5674227,4.5,2866,獨立,393,象山站出口1,300-500m
Arthere Cafe,"No. 6號, Alley 3, Lane 165, Section 5, Zhongxiao E Rd, Xinyi District, Taipei City, Taiwan 110",信義區,25.0414643,121.56897049999998,4.2,1888,獨立,182,市政府站出口4,300m內
TAMED FOX 信義店,"110, Taiwan, Taipei City, Xinyi District, Songren Rd, 91號B1",信義區,25.0371539,121.5695626,4.2,1458,獨立,462,象山站出口1,300-500m
SAND COFFEE,"No. 4號, Alley 40, Lane 156, Wuxing St, Xinyi District, Taipei City, Taiwan 110",信義區,25.0285442,121.560018,4.4,283,獨立,516,台北101/世貿站出口2,500m以上
KA sky coffee,"110, Taiwan, Taipei City, Xinyi District, Songgao Rd, 77號33樓",信義區,25.0393334,121.57034480000002,4.2,760,獨立,366,市政府站出口3,300-500m
Simple Kaffa,"110, Taiwan, Taipei City, Xinyi District, Section 5, Xinyi Rd, 7號88樓",信義區,25.033976,121.5645389,4.2,1708,獨立,113,台北101/世貿站出口4,300m內
CURISTA COFFEE Taipei City Hall Shop,"110, Taiwan, Taipei City, Xinyi District, Section 4, Zhongxiao E Rd, 563號1樓",信義區,25.0415889,121.56405,4.6,1771,獨立,123,市政府站出口2,300m內
STARBUCKS RESERVE™ DREAM PLAZA TAIPEI,"110, Taiwan, Taipei City, Xinyi District, Songgao Rd, 11號6樓",信義區,25.0397823,121.5654532,3.9,1203,連鎖,138,市政府站出口2,300m內
waku waku burger 101店,"No. 117, Wuxing St, Xinyi District, Taipei City, Taiwan 110",信義區,25.0299571,121.5613837,4.5,2845,獨立,326,台北101/世貿站出口2,300-500m
2730café,"No. 288號, Yanji St, Da’an District, Taipei City, Taiwan 106",信義區,25.0336005,121.55706279999998,4.6,1009,獨立,358,信義安和站出口5,300-500m
LEAVES Cafe 午葉信義,"No. 3號, Alley 167, Lane 30, Yongji Rd, Xinyi District, Taipei City, Taiwan 110",信義區,25.0420261,121.56889489999998,4.1,1087,獨立,192,市政府站出口4,300m內
Dreamers Coffee Roasters 光復店,"No. 11號, Lane 240, Guangfu S Rd, Da’an District, Taipei City, Taiwan 106",信義區,25.0406034,121.55693409999998,4.4,1027,獨立,53,國父紀念館站出口2,300m內
STARBUCKS Uni-President Dept. Store Taipei 2F Shop,"110, Taiwan, Taipei City, Xinyi District, Section 5 of Zhongxiao East RoadSection 5 of Zhongxiao E Rd, 8號2F",信義區,25.0406227,121.5654586,4.0,1516,連鎖,56,市政府站出口2,300m內
Utroo café,"No. 15號, Alley 2, Lane 236, Section 5, Zhongxiao E Rd, Xinyi District, Taipei City, Taiwan 110",信義區,25.040366,121.5711279,4.6,703,獨立,405,市政府站出口3,300-500m
11 Eleven Café,"110, Taiwan, Taipei City, Xinyi District, Lane 553, Section 4, Zhongxiao E Rd, 12號1樓之一",信義區,25.0425357,121.5628921,4.5,2614,獨立,279,市政府站出口2,300m內
Greedy Bistronomy Cafe,"No. 42, Lane 308, Guangfu S Rd, Da’an District, Taipei City, Taiwan 106",信義區,25.0389528,121.5555889,4.4,1585,獨立,257,國父紀念館站出口2,300m內
INTRO Kitchen,"No. 21號, Lane 300, Jihe Rd, Shilin District, Taipei City, Taiwan 11162",士林區,25.0937708,121.5185614,4.2,1299,獨立,747,士林站出口1,500m以上
Second Life Coffee Plus,"No. 74號, Meide St, Shilin District, Taipei City, Taiwan 111",士林區,25.0957824,121.5251466,4.4,1109,獨立,204,士林站出口1,300m內
STARBUCKS Shilin MRT Shop,"No. 239號, Zhongzheng Rd, Shilin District, Taipei City, Taiwan 111",士林區,25.095147,121.5258039,4.0,1193,連鎖,117,士林站出口1,300m內
ACME｜Cafe Bar & Restaurant,"111, Taiwan, Taipei City, Shilin District, Jiantan Rd, 1號7樓",士林區,25.0851274,121.52436619999996,4.1,3785,獨立,82,劍潭站出口1,300m內
Banana Blue Coffee 士林店,"No. 182號, Zhongzheng Rd, Shilin District, Taipei City, Taiwan 11145",士林區,25.0958028,121.5272899,4.1,663,獨立,231,士林站出口1,300m內
Kissa Azuki,"No. 7號, Furong St, Shilin District, Taipei City, Taiwan 11159",士林區,25.096067,121.52708,4.5,520,獨立,245,士林站出口1,300m內
STARBUCKS Shilin Chengde Shop,"No. 67號, Section 4, Chengde Rd, Shilin District, Taipei City, Taiwan 111",士林區,25.0817268,121.5233978,4.0,891,連鎖,219,劍潭站出口2,300m內
Louisa Coffee,"111, Taiwan, Taipei City, Shilin District, Qiangang St, 11號1樓",士林區,25.0849641,121.52270249999998,3.4,577,連鎖,240,劍潭站出口3,300m內
